加入			かにゅう			その会に加入させてもらえなかった
再発			さいはつ			そういう事故は再発する恐れがあります
兎角			とかく				涙は兎角に止まなかった　（止む　個人の力では扱いかねるものに用いられるように思います。)(止まる　赤信号で止まりましたか)
>兼ねる			かねる				unable to do sth こういう事情ですから、残念ながら、せっかくのご招待をおうけいたしかねるのです
喋る			しゃべる			黙っていたことを後悔した人より、しゃべったことを後悔した人が多い。
>掌				たなごころ			おいおい当城を掌にし
取り混ぜる		とりまぜる			彼らはトマトを大小取り混ぜて売った
>従って			したがって			according to;先生の忠告に従って行動したほうがよい
>志				こころざし			何事をするにも志が大切
貫禄			かんろく			dignity 君は課長としての貫禄がない
欠席			けっせき			無断で欠席すべきではない
困難			こんなん			問題はいかにして我々がげんざいの困難を切り抜けるかである
事情			じじょう			彼女に会うべきかどうかは私自身が決める事情だ
>伺う			うかがう			call on;pay a visit;wait on;ask;hear;be told; 本日は伺うことができませんでした。
>刃				は					刃の鋭い、刃は鋭い
家計			かけい				彼女は家計のやり繰りに頭を抱えている
物資			ぶっし				公平に言って、彼は自分の限られた部下と物資で最善を尽くした
転校			てんこう			転校生は先生の鉛筆を削って機嫌を取った
手配			てはい				誰かお宅へ車で迎えに行くよう手配しておきましょうか
>呟く			つぶやく			嘀咕 叽歪 彼は学校に対する不満を呟いた　He muttered complaints against the school
>隠れる			かくれる			彼は戸の陰に隠れた
関税			かんぜい			
盗み			ぬすみ
利息			りそく
盛大			せいだい
悩む			なやむ
過労			かろう
輸入			ゆにゅう
論議			ろんぎ
			そっくり
個別			こべつ
			まさか
放り出す			ほうりだす
街頭			がいとう
立派			りっぱ
成年			せいねん
押し寄せる			おしよせる
地区			ちく
近付く			ちかづく
重役			おもやく
嘘つき			うそつき
取り巻く			とりまく
職業			しょくぎょう
一頃			ひところ
不吉			ふきつ
応募			おうぼ
才能			さいのう
如何にも			いかにも
			ママ
道路			どうろ
学問			がくもん
有望			ゆうぼう
			カー
岩			いわ
実施			じっし
犯人			はんにん
本人			ほんにん
登録			とうろく
是非とも			ぜひとも
証言			しょうげん
仕上げる			しあげる
了			りょう
省みる			かえりみる
哲学			てつがく
大統領			だいとうりょう
然しながら			しかしながら
散蒔く			ばらまく
瓶			かめ
			ホース
余地			よち
単語			たんご
業務			ぎょうむ
浜辺			はまべ
解除			かいじょ
時			とき
揃い			そろい
灰			あく
直に			じかに
示す			しめす
勢力			せいりょく
			あらゆる
他			ほか
権			けん
王子			おうじ
			いち
原典			げんてん
偶々			たまたま
共稼ぎ			ともかせぎ
途端			とたん
夜中			よなか
到達			とうたつ
岩石			がんせき
上等			じょうとう
健全			けんぜん
風車			かざぐるま
肝心			かんじん
霜			しも
			げっそり
服装			ふくそう
碌な			ろくな
胃			い
植物			しょくぶつ
社宅			しゃたく
炒める			いためる
地元			じもと
捻じれる			ねじれる
原形			げんけい
外相			がいしょう
			エネルギー
決定			けってい
紛争			ふんそう
旧事			くじ
解剖			かいぼう
丈夫			じょうふ
擦れ違い			すれちがい
交際			こうさい
仕付ける			しつける
没収			ぼっしゅう
行い			おこない
若しくは			もしくは
学者			がくしゃ
閉鎖			へいさ
能			のう
校			こう
同一			どういつ
鬼			おに
増強			ぞうきょう
大気			たいき
個人			こじん
空き			あき
瓶			びん
汚す			けがす
無事			ぶじ
管理			かんり
値する			あたいする
今にも			いまにも
近代			きんだい
訓練			くんれん
冗談			じょうだん
間違い			まちがい
有様			ありさま
狂う			くるう
閉じる			とじる
自殺			じさつ
小銭			こぜに
易い			やすい
生真面目			きまじめ
左右			さゆう
莫大			ばくだい
限る			かぎる
			ぼやける
員			いん
大抵			たいてい
設計			せっけい
欠陥			けっかん
改善			かいぜん
下			げ
一言			ひとこと
現れる			あらわれる
節			せつ
背			せい
騒音			そうおん
述べる			のべる
妥協			だきょう
向く			むく
反撃			はんげき
会計			かいけい
			いずれ
先天的			せんてんてき
餌			えさ
改まる			あらたまる
男子			だんし
			そっくり
小麦			こむぎ
通常			つうじょう
若しかして			もしかして
思想			しそう
端			はし
			ジーパン
一概に			いちがいに
十分			じっぷん
人込み			ひとごみ
期末			きまつ
真っ直ぐ			まっすぐ
家賃			やちん
室			しつ
			じっと
専修			せんしゅう
時刻			じこく
成るべく			なるべく
未練			みれん
手筈			てはず
信じる			しんじる
四			し
法			ほう
対象			たいしょう
			ブーム
水準			すいじゅん
衣服			いふく
金			きん
			プロ
			セックス
誰か			だれか
学芸			がくげい
同意			どうい
不良			ふりょう
欠ける			かける
極端			きょくたん
浅ましい			あさましい
限界			げんかい
片言			かたこと
構成			こうせい
全員			ぜんいん
才能			さいのう
すると			すると
切れ目			きれめ
済ます			すます
破る			やぶる
動力			どうりょく
縄			なわ
真に			まことに
勝ち			かち
協力			きょうりょく
			フォーム
態と			わざと
持ち上げる			もちあげる
満場			まんじょう
随分			ずいぶん
一々			いちいち
学ぶ			まなぶ
修了			しゅうりょう
			いわゆる
明後日			あさって
			カーペット
藻掻く			もがく
発行			はっこう
舞台			ぶたい
雇う			やとう
作業			さぎょう
悪者			わるもの
腫れる			はれる
診療			しんりょう
万			ばん
同等			どうとう
頬			ほお
いい加減			いいかげん
高速			こうそく
容易			ようい
元年			がんねん
香り			かおり
前者			ぜんしゃ
興奮			こうふん
畜生			ちくしょう
難い			かたい
読書			どくしょ
針			はり
国連			こくれん
戦			いくさ
任務			にんむ
化合			かごう
正確			せいかく
			ハンサム
風習			ふうしゅう
含む			ふくむ
大使			たいし
居る			おる
先日			せんじつ
			アイロン
穂			ほ
しまう			（終わる）
			どうしても
促す			うながす
情け			なさけ
象			しょう
農地			のうち
経路			けいろ
性			せい
同士			どうし
			けち
再会			さいかい
毛布			もうふ
実			み
報じる			ほうじる
苦しめる			くるしめる
革新			かくしん
囲む			かこむ
恋する			こいする
進路			しんろ
月並み			つきなみ
悩ます			なやます
提示			ていじ
支配			しはい
生地			きじ
回復			かいふく
気立て			きだて
したがって			したがって
お邪魔します			おじゃまします
諺			ことわざ
土木			どぼく
評判			ひょうばん
真実			さな
滞納			たいのう
自尊心			じそんしん
			いただきます
観衆			かんしゅう
その外			そのほか
若しも			もしも
根回し			ねまわし
通り			とおり
本文			ほんぶん
保障			ほしょう
無茶苦茶			むちゃくちゃ
心理			しんり
			スタジオ
仙			せん
臍			へそ
以来			いらい
哀れ			あわれ
其れでも			それでも
生地			きじ
男子			だんし
			やや
計算			けいさん
集団			しゅうだん
唯一			ゆいいつ
設ける			もうける
金額			きんがく
控える			ひかえる
絶滅			ぜつめつ
折衷			せっちゅう
			たとえ
丘			おか
中央			ちゅうおう
動かす			うごかす
			ちゃんと
図			ず
中止			ちゅうし
図々しい			ずうずうしい
何々			どれどれ
妬む			ねたむ
独裁			どくさい
塀			へい
田			た
順調			じゅんちょう
別れ			わかれ
秒			びょう
財政			ざいせい
他人			たにん
			コミュニケーション
弛む			たるむ
欲望			よくぼう
衰える			おとろえる
堪える			たえる
協力			きょうりょく
監督			かんとく
休暇			きゅうか
捕虜			ほりょ
連盟			れんめい
幸い			さいわい
働			どう
発見			はっけん
交際			こうさい
石炭			せきたん
無言			むごん
論争			ろんそう
負け			まけ
小売			こうり
			ところが
真上			まうえ
十字路			じゅうじろ
瞬間			しゅんかん
配置			はいち
境			さかい
君主			くんしゅ
痛切			つうせつ
先代			せんだい
余り			あまり
知能			ちのう
体育			たいいく
前進			ぜんしん
要素			ようそ
楽			らく
関する			かんする
大柄			おおがら
助動詞			じょどうし
努力			どりょく
脂肪			しぼう
楽譜			がくふ
中断			ちゅうだん
化学			かがく
様			さま
塵			ごみ
			インテリ
給食			きゅうしょく
動かす			うごかす
平ら			たいら
修理			しゅうり
地平線			ちへいせん
体			てい
本人			ほんにん
観点			かんてん
人種			じんしゅ
			ところで
主観			しゅかん
刀			かたな
			おめでとう
摘む			つまむ
受け付ける			うけつける
有能			ゆうのう
従来			じゅうらい
気付く			きづく
乗せる			のせる
悪口			わるくち
平行			へいこう
時			とき
片付け			かたづけ
否定			ひてい
黙る			だまる
			トラック
適度			てきど
失業			しつぎょう
			インク
踏まえる			ふまえる
分野			ぶんや
苦労			くろう
恋人			こいびと
増し			まし
勘			かん
			カメラマン
引退			いんたい
味覚			みかく
手近			てぢか
博物館			はくぶつかん
近眼			きんがん
写し			うつし
停留所			ていりゅうじょ
口ずさむ			くちずさむ
平ら			たいら
建築			けんちく
酸素			さんそ
			アマチュア
会合			かいごう
方式			ほうしき
			バッグ
			ばったり
積もる			つもる
妙			みょう
大家			おおや
曇			くもり
法廷			ほうてい
編			へん
全員			ぜんいん
演出			えんしゅつ
状態			じょうたい
差し出す			さしだす
賠償			ばいしょう
いえ			いえ
種			たね
罹る			かかる
作物			さくぶつ
惨め			みじめ
目論見			もくろみ
香辛料			こうしんりょう
感心			かんしん
能力			のうりょく
平方			へいほう
一日			いちじつ
生臭い			なまぐさい
			ジャズ
勘定			かんじょう
うん			（感）
			ぼんやり
大いに			おおいに
側			がわ
風景			ふうけい
誠実			せいじつ
座標			ざひょう
			バン
集まり			あつまり
夜具			やぐ
首飾り			くびかざり
			スケート
			おや
			センター
体格			たいかく
優位			ゆうい
引っ掻く			ひっかく
お蔭様で			おかげさまで
くっ付ける			くっつける
能力			のうりょく
			ソックス
発言			はつげん
年中			ねんじゅう
歓迎			かんげい
通す			とおす
			そっと
神経			しんけい
修士			しゅうし
故郷			こきょう
格好			かっこう
新た			あらた
			カード
			ブルー
			タイプライター
温暖			おんだん
持続			じぞく
縁			えん
制度			せいど
眩しい			まぶしい
奥			おく
更に			さらに
哉			や
何て			なんて
牧師			ぼくし
和			わ
			ベスト
清純			せいじゅん
他動詞			たどうし
油			あぶら
折り返す			おりかえす
先日			せんじつ
悲惨			ひさん
舌			した
良い			いい
俳優			はいゆう
筆			ふで
心細い			こころぼそい
馬鹿らしい			ばからしい
課			か
辛うじて			かろうじて
落ち込む			おちこむ
女子			おなご
友人			ゆうじん
露骨			ろこつ
検事			けんじ
入賞			にゅうしょう
退学			たいがく
			パトカー
疎か			おろそか
埃			ほこり
移す			うつす
虫歯			むしば
板			いた
振る			ふる
			いち
保守			ほしゅ
被る			かぶる
議長			ぎちょう
肺			はい
蔵相			ぞうしょう
就く			つく
団結			だんけつ
現われ			あらわれ
昇る			のぼる
大統領			だいとうりょう
敬意			けいい
通じる			つうじる
			ぼやく
空			から
公立			こうりつ
金銭			きんせん
変化			へんか
或る			ある
			ジャンル
信じる			しんじる
			スペース
位地			いち
批評			ひひょう
其方			そちら
券			けん
現状			げんじょう
夜明け			よあけ
排除			はいじょ
徴収			ちょうしゅう
積もり			つもり
点線			てんせん
転回			てんかい
自我			じが
固定			こてい
依って			よって
科目			かもく
絶版			ぜっぱん
申し込み			もうしこみ
唸る			うなる
刑事			けいじ
永遠			えいえん
			バイオリン
不自由			ふじゆう
			それでも
探検			たんけん
役			えき
仲間			なかま
小			しょう
真っ二つ			まっぷたつ
若干			じゃっかん
対応			たいおう
老人			ろうじん
免除			めんじょ
愛でたい			めでたい
現れ			あらわれ
			レントゲン
感覚			かんかく
修正			しゅうせい
			アップ
到着			とうちゃく
科			か
大陸			たいりく
持ち			もち
			ダウン
礼			れい
特技			とくぎ
			あら
唾			つば
			ラケット
大			だい
留学			りゅうがく
報ずる			ほうずる
印			しるし
短歌			たんか
公平			こうへい
			ジャンボ
閉じる			とじる
梅雨			つゆ
処理			しょり
労働			ろうどう
不味い			まずい
平たい			ひらたい
衣類			いるい
運			うん
覆う			おおう
朝寝坊			あさねぼう
混雑			こんざつ
何れ			どれ
相変わらず			あいかわらず
所持			しょじ
飛行			ひこう
供			きょう
結局			けっきょく
上			かみ
真面目			まじめ
反する			はんする
追う			おう
話し合う			はなしあう
経由			けいゆ
向ける			むける
居眠り			いねむり
文化財			ぶんかざい
落下			らっか
広がる			ひろがる
残酷			ざんこく
			じゃあ
奨学金			しょうがくきん
			あんまり
本体			ほんたい
空き			あき
広告			こうこく
資源			しげん
喉			のど
荒らす			あらす
書物			しょもつ
近視			きんし
分析			ぶんせき
好調			こうちょう
実現			じつげん
育つ			そだつ
嬉しい			うれしい
しまい			（終わり）
保つ			たもつ
真ん前			まんまえ
提出			ていしゅつ
刺繍			ししゅう
連日			れんじつ
提供			ていきょう
触れる			ふれる
婚約			こんやく
			あっさり
時折			ときおり
終日			しゅうじつ
冷やかす			ひやかす
			デート
束の間			つかのま
畜産			ちくさん
			テレックス
相			あい
			たっぷり
頻りに			しきりに
今日			こんにち
佳句			かく
参加			さんか
視点			してん
			クラシック
			まあ
日取り			ひどり
一人でに			ひとりでに
そう			そう
意向			いこう
愛憎			あいにく
全く			まったく
大半			たいはん
			ボール
未だ			まだ
			チーズ
生命			せいめい
			インフォメーション
嫋か			しなやか
手数			てかず
でも			でも
遣る			やる
ね			（感）
			トップ
仲			なか
騒動			そうどう
勝ち			かち
箇条書き			かじょうがき
解釈			かいしゃく
女優			じょゆう
人柄			ひとがら
音			ね
気まぐれ			きまぐれ
様子			ようす
処置			しょち
批評			ひひょう
			ちやほや
工場			こうば
割る			わる
巨大			きょだい
泥			どろ
明朗			めいろう
通す			とおす
腐る			くさる
株式			かぶしき
案			あん
婿			むこ
下がる			さがる
			いけない
学士			がくし
失調			しっちょう
荷造り			にづくり
			だって
魅力			みりょく
不順			ふじゅん
解く			とく
屋根			やね
凍る			こおる
計算			けいさん
何か			なにか
碌に			ろくに
剥ぐ			はぐ
著者			ちょしゃ
無			ぶ
届け			とどけ
理論			りろん
火曜			かよう
爆発			ばくはつ
事業			じぎょう
支配			しはい
否			いや
船舶			せんぱく
気軽			きがる
趣			おもむき
発表			はっぴょう
熱帯			ねったい
大幅			おおはば
放す			はなす
留める			とめる
幾ら			いくら
褒める			ほめる
悩み			なやみ
球			きゅう
妥結			だけつ
資金			しきん
平等			びょうどう
上位			じょうい
振る			ふる
老人			ろうじん
誂える			あつらえる
減る			へる
			カット
婦人			ふじん
綿			わた
強まる			つよまる
新鮮			しんせん
			タイミング
方			ほう
占める			しめる
			ベンチ
一種			いっしゅ
門			かど
捕鯨			ほげい
中指			ちゅうし
軍			ぐん
参上			さんじょう
仏			ほとけ
飛び出す			とびだす
毎			ごと
丸			まる
制定			せいてい
流す			ながす
粉			こな
議会			ぎかい
			アルミ
像			ぞう
			マーケット
次第			しだい
拐う			さらう
			ゆとり
礼			れい
休憩			きゅうけい
明後日			みょうごにち
桜			さくら
用法			ようほう
黄金			おうごん
離れる			はなれる
毒			どく
消費			しょうひ
			たびたび
諦める			あきらめる
女王			じょおう
屡			しばしば
有機			ゆうき
警告			けいこく
			もしも
梅雨			つゆ
			マスコミ
義務			ぎむ
年月			としつき
背			せい
引用			いんよう
地球			ちきゅう
辻褄			つじつま
萎む			しぼむ
故障			こしょう
志す			こころざす
入口			いりくち
腐る			くさる
世代			せだい
			レンタカー
織物			おりもの
信号			しんごう
費用			ひよう
日夜			にちや
紛失			ふんしつ
毟る			むしる
中心			ちゅうしん
免許			めんきょ
懲りる			こりる
胸			むね
成る丈			なるたけ
体験			たいけん
民主			みんしゅ
一同			いちどう
			おそらく
金持ち			かねもち
火災			かさい
欠陥			けっかん
袖			そで
馬鹿			ばか
本当			ほんと
党			とう
入学			にゅうがく
零れる			こぼれる
委員			いいん
原油			げんゆ
ヶ月			かげつ
励ます			はげます
浸す			ひたす
うまい			うまい
極楽			ごくらく
戦う			たたかう
達者			たっしゃ
徹する			てっする
軍隊			ぐんたい
広がる			ひろがる
先ず			まず
殿様			とのさま
動機			どうき
倒す			たおす
発病			はつびょう
構想			こうそう
一人一人			ひとりひとり
完全			かんぜん
動的			どうてき
原文			げんぶん
答案			とうあん
馴らす			ならす
無闇に			むやみに
階層			かいそう
発足			はっそく
砂漠			さばく
花壇			かだん
火星			かせい
地方			ちほう
為る			する
空			から
そこ			そこ
履く			はく
			すなわち
			インターナショナル
従兄弟			いとこ
地			ち
大筋			おおすじ
機関			きかん
見合わせる			みあわせる
製品			せいひん
七			しち
掴む			つかむ
決行			けっこう
患者			かんじゃ
抵抗			ていこう
その			その
			デザイン
輪			わ
走行			そうこう
疑問			ぎもん
末			うら
通過			つうか
漁船			ぎょせん
保養			ほよう
前もって			まえもって
負け			まけ
跨がる			またがる
			あっ
埋蔵			まいぞう
事件			じけん
偏見			へんけん
食料			しょくりょう
手引き			てびき
酔う			よう
設計			せっけい
桟橋			さんきょう
			チーム
希望			きぼう
決まる			きまる
角			すみ
拒否			きょひ
原			はら
打ち合わせ			うちあわせ
半ば			なかば
			しばしば
先先月			せんせんげつ
			ソファー
宗教			しゅうきょう
真っ赤			まっか
起点			きてん
一向			ひたすら
信用			しんよう
際			さい
心得			こころえ
沈没			ちんぼつ
県			けん
規定			きてい
詩人			しじん
上昇			じょうしょう
平和			へいわ
辛い			つらい
分業			ぶんぎょう
釣り			つり
印			いん
夫人			ふじん
名簿			めいぼ
実験			じっけん
切れる			きれる
大水			おおみず
文字			もじ
			オートマチック
短大			たんだい
成熟			せいじゅく
違える			ちがえる
葬る			ほうむる
記憶			きおく
造る			つくる
順番			じゅんばん
機械			きかい
割り当て			わりあて
			ふんだん
単純			たんじゅん
ご馳走			ごちそう
地方			じかた
差別			さべつ
中程			なかほど
林業			りんぎょう
遣い			つかい
面			めん
			ウェートレス
改訂			かいてい
永久			えいきゅう
彼等			かれら
番			ばん
輝く			かがやく
反発			はんぱつ
無視			むし
不審			ふしん
程度			ていど
交換			こうかん
噴出			ふんしゅつ
否決			ひけつ
			いい
遮る			さえぎる
食糧			しょくりょう
強硬			きょうこう
人民			じんみん
積極的			せっきょくてき
災害			さいがい
詐欺			さぎ
調べ			しらべ
笑顔			えがお
膜			まく
気温			きおん
何で			なんで
備わる			そなわる
締め切り			しめきり
幸せ			しあわせ
発明			はつめい
雇用			こよう
電子			でんし
			サービス
			ありがとう
沖			おき
お先に			おさきに
広まる			ひろまる
長大			ちょうだい
笑い			わらい
噂			うわさ
硬い			かたい
薄弱			はくじゃく
監視			かんし
一方			いっぽう
実は			じつは
蓮			はす
			うなる
国語			こくご
丸々			まるまる
署名			しょめい
指す			さす
捗る			はかどる
型			かた
柄			え
揶揄う			からかう
数			かず
破棄			はき
偶然			ぐうぜん
終			おわり
説			せつ
衝撃			しょうげき
退ける			しりぞける
差			さ
合わせ			あわせ
教師			きょうし
空ろ			うつろ
要因			よういん
承諾			しょうだく
準ずる			じゅんずる
			チャンネル
詰まり			つまり
芽			め
舗装			ほそう
操作			そうさ
都			みやこ
試みる			こころみる
式場			しきじょう
設置			せっち
優越			ゆうえつ
磁気			じき
唯			たった
過去			かこ
言わば			いわば
洒落			しゃらく
手伝い			てつだい
者			もの
夫婦			ふうふ
主張			しゅちょう
衆議院			しゅうぎいん
幹部			かんぶ
再び			ふたたび
丸い			まるい
或			ある
			クリーム
兵士			へいし
明ける			あける
お昼			おひる
貝殻			かいがら
球根			きゅうこん
			ヨット
叱る			しかる
掃除			そうじ
犯す			おかす
茶			ちゃ
未来			みらい
可成			かなり
登校			とうこう
降ろす			おろす
犯人			はんにん
身なり			みなり
			テント
仕入れる			しいれる
本物			ほんもの
			うなる
水源			すいげん
検査			けんさ
去る			さる
決まり悪い			きまりわるい
面会			めんかい
他人			あだびと
金額			きんがく
止める			とどめる
駄作			ださく
塀			へい
購入			こうにゅう
濫用			らんよう
恋			こい
			がっかり
貯金			ちょきん
集団			しゅうだん
安定			あんてい
鳥居			とりい
議論			ぎろん
核			かく
達する			たっする
段			だん
以前			いぜん
九			きゅう
打付ける			ぶつける
熱心			ねっしん
			かわいそう
抜かす			ぬかす
並み			なみ
			パスポート
大いに			おおいに
疑問			ぎもん
成功			せいこう
芝生			しばふ
消去			しょうきょ
一時			いちじ
詩			し
眺め			ながめ
一体			いったい
拝借			はいしゃく
よろしく			（感）
待ち合わせ			まちあわせ
権利			けんり
弁解			べんかい
総会			そうかい
観察			かんさつ
			ひょっと
空しい			むなしい
希望			きぼう
条約			じょうやく
英雄			えいゆう
心情			しんじょう
預金			よきん
得る			える
流			りゅう
感じる			かんじる
毒			どく
			ユーモア
受け止める			うけとめる
引き上げる			ひきあげる
曜日			ようび
着工			ちゃっこう
税金			ぜいきん
賭ける			かける
許可			きょか
不図			ふと
贅沢			ぜいたく
略語			りゃくご
			ぴったり
素敵			すてき
現金			げんきん
夢中			むちゅう
華々しい			はなばなしい
第			だい
湿気る			しける
情勢			じょうせい
執着			しゅうじゃく
尊ぶ			たっとぶ
			ダイヤ
怪我			けが
阻止			そし
豪華			ごうか
			ずっと
腸			ちょう
一心			いっしん
小屋			こや
素材			そざい
			ナイター
お祖父さん			おじいさん
利口			りこう
沿い			ぞい
程			ほど
監督			かんとく
心掛け			こころがけ
現行			げんこう
好い			よい
憂鬱			ゆううつ
粥			かゆ
貯金			ちょきん
断言			だんげん
見落とす			みおとす
暖かい			あたたか(い)
生			せい
障害			しょうがい
手間			てま
心中			しんじゅう
土			つち
果てる			はてる
金属			きんぞく
発展			はってん
外出			がいしゅつ
幾多			いくた
常に			つねに
除く			のぞく
気触れる			かぶれる
掲載			けいさい
手本			てほん
途上			とじょう
有難う			ありがとう
覚え			おぼえ
			かなり
対象			たいしょう
尻			しり
彼等			かれら
愛する			あいする
粘り			ねばり
贋物			がんぶつ
良質			りょうしつ
助け			たすけ
数			すう
見舞い			みまい
共感			きょうかん
復旧			ふくきゅう
適性			てきせい
吝嗇			けち
値段			ねだん
取り次ぐ			とりつぐ
封鎖			ふうさ
			スチーム
			ミルク
笑顔			えがお
			どうか
来			らい
判断			はんだん
合図			あいず
食う			くう
左様なら			さようなら
人目			じんもく
複合			ふくごう
戦い			たたかい
劇			げき
所為			せい
派遣			はけん
安っぽい			やすっぽい
出会う			であう
著しい			いちじるしい
かも知れない			かもしれない
年代			ねんだい
名産			めいさん
解釈			かいしゃく
済みません			すみません
それ			（接。感）
使命			しめい
尽くす			つくす
係り			かかり
夜			よ
中古			ちゅうこ
用心			ようじん
鍛える			きたえる
同志			どうし
区別			くべつ
部門			ぶもん
引き取る			ひきとる
			ランプ
不山戯る			ふざける
貴い			たっとい
覚める			さめる
便り			たより
勝利			しょうり
運搬			うんぱん
籤引			くじびき
劣る			おとる
			ウイスキー
			ドレス
すみません			（感）
無し			なし
雑談			ざつだん
自在			じざい
引きずる			ひきずる
無能			むのう
議会			ぎかい
陰			かげ
鉄道			てつどう
弁論			べんろん
偉大			いだい
此の			この
県			けん
他			ほか
解決			かいけつ
灰皿			はいさら
幸い			さいわい
誘う			さそう
参照			さんしょう
			ぶらぶら
			いやに
			コンパス
獲物			えもの
満ちる			みちる
噛る			かじる
養う			やしなう
穀物			こくもつ
列車			れっしゃ
非常			ひじょう
貧乏			びんぼう
群			ぐん
経由			けいゆ
対談			たいだん
			ぞんざい
粗筋			あらすじ
賞			しょう
示す			しめす
確実			かくじつ
急速			きゅうそく
戦う			たたかう
把握			はあく
徹底			てってい
審査			しんさ
ご無沙汰			ごぶさた
引き下げる			ひきさげる
刈る			かる
級			きゅう
育ち			そだち
お宮			おみや
掲示			けいじ
年号			ねんごう
旧			きゅう
			チャンス
			くっきり
尤も			もっとも
議事堂			ぎじどう
熱帯			ねったい
去る			さる
芽			め
虎			とら
取りあえず			とりあえず
			ファン
画期			かっき
曜日			ようび
書評			しょひょう
判決			はんけつ
金槌			かなづち
旅			たび
納得			なっとく
管			くだ
合わす			あわす
			ちょうだい
害			がい
課			か
場			ば
宜しく			よろしく
来			らい
			なにも
追い付く			おいつく
財			ざい
			きっちり
			ワット
従事			じゅうじ
揺さぶる			ゆさぶる
			おしゃべり
死亡			しぼう
一寸			ちょっと
鬱陶しい			うっとうしい
優			やさ
避難			ひなん
決心			けっしん
強請る			ねだる
彼方此方			あちこち
卑しい			いやしい
模様			もよう
うまい			うまい
優秀			ゆうしゅう
小包			こづつみ
利口			りこう
下さる			くださる
金庫			かねぐら
定年			ていねん
国会			こっかい
今後			こんご
取り扱う			とりあつかう
問う			とう
			コード
他人			たにん
			タイムリー
学説			がくせつ
横綱			よこづな
女子			じょし
居眠り			いねむり
痛み			いたみ
			ホーム
お喋り			おしゃべり
多少			たしょう
破る			やぶる
否			いや
効率			こうりつ
農耕			のうこう
防ぐ			ふせぐ
			イエス
保育			ほいく
掛かる			かかる
筋肉			きんにく
済ませる			すませる
休学			きゅうがく
候補			こうほ
出題			しゅつだい
袋			ふくろ
沸騰			ふっとう
			オーケー
今に			いまに
			シック
			ずらっと
芝居			しばい
組合			くみあい
再生			さいせい
汚染			おせん
全国			ぜんこく
思い出			おもいで
整列			せいれつ
恐ろしい			おそろしい
減らす			へらす
芝			しば
住宅			じゅうたく
大部分			だいぶぶん
軌道			きどう
沈める			しずめる
現象			げんしょう
命じる			めいじる
予期			よき
			スイッチ
			オフィス
会員			かいいん
計			けい
合計			ごうけい
打ち切る			うちきる
			カンニング
作家			さっか
			インク
原っぱ			はらっぱ
請求			せいきゅう
氾濫			はんらん
雛			ひな
拍手			はくしゅ
発明			はつめい
跨ぐ			またぐ
故人			こじん
共鳴			きょうめい
			プラン
適する			てきする
共同			きょうどう
			タワー
大変			たいへん
濠			ほり
更に			さらに
日本			にほん
包み			つつみ
			いらっしゃい
委託			いたく
目方			めかた
容易			ようい
崩壊			ほうかい
水洗			すいせん
推薦			すいせん
刺激			しげき
御免ください			ごめんください
資源			しげん
不利			ふり
手順			てじゅん
誰か			だれか
少年			しょうねん
知能			ちのう
			かもしれない
進歩			しんぽ
罹る			かかる
妊娠			にんしん
丈			たけ
邪魔			じゃま
警戒			けいかい
馬鹿馬鹿しい			ばかばかしい
招待			しょうたい
整える			ととのえる
刈る			かる
露			つゆ
作品			さくひん
形成			けいせい
色彩			しきさい
分裂			ぶんれつ
一番			いちばん
弄る			いじる
含む			ふくむ
係			かかり
待遇			たいぐう
汗			あせ
重大			じゅうだい
発掘			はっくつ
否			いいえ
旅券			りょけん
色々			いろいろ
			レンジ
美			び
一律			いちりつ
深刻			しんこく
			パーセント
			ヤング
少しも			すこしも
不可欠			ふかけつ
			これら
財源			ざいげん
万能			ばんのう
身長			しんちょう
申し訳			もうしわけ
投げ出す			なげだす
姉妹			きょうだい
身体			しんたい
濡れる			ぬれる
			モーテル
実に			じつに
賜る			たまわる
捧げる			ささげる
婉曲			えんきょく
挨拶			あいさつ
起こる			おこる
			タイル
話し合い			はなしあい
下調べ			したしらべ
名人			めいじん
大金			たいきん
着色			ちゃくしょく
還暦			かんれき
暮れ			くれ
同様			どうよう
視覚			しかく
様			よう
係			かかり
指示			しじ
等			など
賭け			かけ
脚本			きゃくほん
切り替える			きりかえる
小柄			こがら
話し合う			はなしあう
指摘			してき
具体			ぐたい
蒸留			じょうりゅう
遅くとも			おそくとも
代表			だいひょう
お互い			おたがい
連想			れんそう
粗			あら
城			しろ
継ぎ目			つぎめ
空く			すく
黒字			くろじ
昼食			ちゅうしょく
密集			みっしゅう
移す			うつす
額			がく
暮らし			くらし
握手			あくしゅ
賞			しょう
何気ない			なにげない
歯科			しか
耳鼻科			じびか
			エレガント
			アイロン
非			ひ
殊に			ことに
盲点			もうてん
認める			したためる
均衡			きんこう
改革			かいかく
日付			ひづけ
叱る			しかる
地区			ちく
産休			さんきゅう
大会			たいかい
保証			ほしょう
頃			けい
着手			ちゃくしゅ
波			なみ
学			がく
逆上る			さかのぼる
			パイロット
証			あかし
関心			かんしん
偏る			かたよる
唱える			となえる
栄養			えいよう
自転			じてん
見送り			みおくり
垢			あか
氏			し
			コーナー
			いっそ
			チャンス
浪費			ろうひ
対辺			たいへん
予言			かねごと
見方			みかた
議員			ぎいん
週			しゅう
扱う			あつかう
			プラス
夕焼け			ゆうやけ
承知			しょうち
度々			たびたび
朽ちる			くちる
単調			たんちょう
主権			しゅけん
情熱			じょうねつ
辺り			ほとり
